CODIGO;DENOMINACION_GENERICA_ES;DENOMINACION_GENERICA_VAL;DENOMINACION_ESPECIFICA;DENOMINACION;REGIMEN;TIPO_VIA;DIRECCION;NUMERO;CODIGO_POSTAL;LOCALIDAD;PROVINCIA;TELEFONO;FAX;COD_EDIFICACION;LONGITUD;LATITUD;TITULARIDAD;CIF;COMARCA
46036591;ESCUELA PRIVADA DE MÚSICA;ESCOLA PRIVADA DE MÚSICA;ASOCIACIÓN MUSICAL LUÍS VIVES;ESCOLA PRIVADA DE MÚSICA  ASOCIACIÓN MUSICAL LUÍS VIVES;PRIV.;CL;CUENCA;17;46007;VALÈNCIA;VALÈNCIA;667410941;; 1,0;-0.384924;39.468163;;;VALÈNCIA
46036608;ESCUELA PRIVADA DE MÚSICA;ESCOLA PRIVADA DE MÚSICA;;ESCOLA PRIVADA DE MÚSICA;PRIV.;CL;VALL;4;46670;LA POBLA LLARGA;VALÈNCIA;620827788;; 1,0;-0.475296;39.086226;;;LA RIBERA ALTA
46036611;ESCUELA PRIVADA DE DANZA;ESCOLA PRIVADA DE DANSA;XÀTIVA ESTUDI ALICIA HERRERO;ESCOLA PRIVADA DE DANSA  XÀTIVA ESTUDI ALICIA HERRERO;PRIV.;CL;ACADÉMICO MARAVALL;8-B-2;46800;XÀTIVA;VALÈNCIA;667732939;; 1,0;-0.517845;38.990986;;;LA COSTERA
46036621;CENTRO AUTORIZADO SUPERIOR DE MÚSICA;CENTRE AUTORITZAT SUPERIOR DE MÚSICA;ESMAR-GLOBAL EDUCATION INITIATIVES;CENTRE SUPERIOR DE MÚSICA ESMAR-GLOBAL EDUCATION INITIATIVES;PRIV.;CL;DOCTOR PESET;4;46183;L'ELIANA;VALÈNCIA;679243596;; 1,0;-0.544467;39.565578;;;EL CAMP DE TÚRIA
46036645;ESCUELA PRIVADA DE DANZA;ESCOLA PRIVADA DE DANSA;;ESCOLA PRIVADA DE DANSA;PRIV.;CL;BOSCÀ;5;46740;CARCAIXENT;VALÈNCIA;;; 1,0;-0.453143;39.122794;;;LA RIBERA ALTA
46036669;ESCUELA PRIVADA DE MÚSICA;ESCOLA PRIVADA DE MÚSICA;MATILDE SALVADOR;ESCOLA PRIVADA DE MÚSICA MATILDE SALVADOR;PRIV.;CL;GUILLEM DE CASTRO;73;46008;VALÈNCIA;VALÈNCIA;963920786;; 1,0;-0.383988;39.471377;;;VALÈNCIA
46036670;ESCUELA PRIVADA DE MÚSICA;ESCOLA PRIVADA DE MÚSICA;;ESCOLA PRIVADA DE MÚSICA;PRIV.;CL;MAESTRO SERRANO;34;46550;ALBUIXECH;VALÈNCIA;610302888;; 1,0;-0.325085;39.543029;;;L'HORTA NORD
46036694;ESCUELA PRIVADA DE MÚSICA;ESCOLA PRIVADA DE MÚSICA;;ESCOLA PRIVADA DE MÚSICA;PRIV.;CL;SANT ANTONI;21;46893;ALFARRASÍ;VALÈNCIA;657086820;; 1,0;-0.498594;38.90422;;;LA VALL D'ALBAIDA
46036712;ESCUELA PRIVADA DE MÚSICA;ESCOLA PRIVADA DE MÚSICA;GAYANO LLUCH;ESCOLA PRIVADA DE MÚSICA GAYANO LLUCH;PRIV.;CL;GAYANO LLUCH;19;46025;VALÈNCIA;VALÈNCIA;669489833;; 1,0;-0.381105;39.492195;;;VALÈNCIA
46036724;CENTRO PRIVADO DE EDUCACIÓN INFANTIL;CENTRE PRIVAT D'EDUCACIÓ INFANTIL;FEBES 2;CENTRE PRIV. ED. INFANTIL FEBES 2;PRIV.;CL;MANUEL SIMÓ;24;46014;VALÈNCIA;VALÈNCIA;960656953;; 1,0;-0.39123;39.459835;;;VALÈNCIA
46036736;ESCUELA PRIVADA DE MÚSICA;ESCOLA PRIVADA DE MÚSICA;;ESCUELA PRIVADA DE MÚSICA;PRIV.;CL;V.SANCHEZ Y T.BALAGUER;2;46392;SIETE AGUAS;VALÈNCIA;962340234;; 1,0;-0.915706;39.47239;;;LA HOYA DE BUÑOL
46036748;CENTRO PRIVADO DE EDUCACIÓN INFANTIL DE PRIMER CICLO;CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE;SOMNI;CENTRE PRIV. ED. INF. 1ER CICLE SOMNI;PRIV.;CL;SANT JOSEP;3;46134;FOIOS;VALÈNCIA;636517184;; 1,0;-0.353337;39.537977;;;L'HORTA NORD
46036761;CENTRO PRIVADO DE EDUCACIÓN INFANTIL DE PRIMER CICLO;CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE;BRESSOL;CENTRE PRIV. ED. INF. 1ER CICLE BRESSOL;PRIV.;CL;RONDA SUR;9;46250;L'ALCÚDIA;VALÈNCIA;605314500;; 1,0;-0.505749;39.190883;;;LA RIBERA ALTA
46036773;ESCUELA PRIVADA DE MÚSICA;ESCOLA PRIVADA DE MÚSICA;MIGUEL PÉREZ RICARTE;ESCUELA PRIVADA DE MÚSICA MIGUEL PÉREZ RICARTE;PRIV.;CL;DOCTOR PESSET ALEIXANDRE;11;46367;YÁTOVA;VALÈNCIA;619024909;; 1,0;-0.80595;39.38223;;;LA HOYA DE BUÑOL
46036785;CENTRO PRIVADO DE EDUCACIÓN INFANTIL DE PRIMER CICLO;CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE;LA PEQUETECA;CENTRE PRIV. ED. INF. 1ER CICLE LA PEQUETECA;PRIV.;PZ;SAN FELIPE NERI;5;46021;VALÈNCIA;VALÈNCIA;;; 1,0;-0.353493;39.469426;;;VALÈNCIA
46036815;CENTRO DOCENTE PRIVADO EXTRANJERO;CENTRE DOCENT PRIVAT ESTRANGER;ESCUELA LA TRAVESÍA;CENTRE ESTRANGER ESCUELA LA TRAVESÍA;PRIV.;CL;577;23;46182;PATERNA - LA CAÑADA;VALÈNCIA;679177409;; 1,0;-0.470617;39.527342;;;L'HORTA OEST
46036827;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;SAN ANTONIO ABAD;CEIP SAN ANTONIO ABAD;PÚB.;CL;SUECA;1;46418;FORTALENY;VALÈNCIA;690245992;; 1,0;-0.313796;39.184598;GENERALITAT VALENCIANA;S4600329I;LA RIBERA BAIXA
03005719;INSTITUTO DE EDUCACIÓN SECUNDARIA;INSTITUT D'EDUCACIÓ SECUNDÀRIA;AZORÍN;IES AZORÍN;PÚB.;AV;DE MADRID;S/N;3610;PETRER;ALACANT;966957295;966957296; 1,0;-0.783262;38.477438;GENERALITAT VALENCIANA;Q5355500I;EL VINALOPÓ MITJÀ/ EL VINALOPÓ MEDIO
03005720;INSTITUTO DE EDUCACIÓN SECUNDARIA;INSTITUT D'EDUCACIÓ SECUNDÀRIA;LA MELVA;IES LA MELVA;PÚB.;AV;DE LA MELVA;7;3600;ELDA;ALACANT;966957320;966957321; 1,0;-0.804216;38.478164;GENERALITAT VALENCIANA;Q5355498F;EL VINALOPÓ MITJÀ/ EL VINALOPÓ MEDIO
03005744;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;JUAN RICO Y AMAT;CEIP JUAN RICO Y AMAT;PÚB.;PD;DOCTOR RICO;S/N;3600;ELDA;ALACANT;966957435;966957436; 1,0;-0.797394;38.465403;GENERALITAT VALENCIANA;Q5355093E;EL VINALOPÓ MITJÀ/ EL VINALOPÓ MEDIO
03005768;INSTITUTO DE EDUCACIÓN SECUNDARIA;INSTITUT D'EDUCACIÓ SECUNDÀRIA;LA TORRETA;IES LA TORRETA;PÚB.;AV;DE RONDA;77;3600;ELDA;ALACANT;966957315;966957316; 1,0;-0.791777;38.466565;GENERALITAT VALENCIANA;Q5355497H;EL VINALOPÓ MITJÀ/ EL VINALOPÓ MEDIO
03005811;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;PUIG CAMPANA;CEIP PUIG CAMPANA;PÚB.;CM;DE REYES;4;3509;FINESTRAT;ALACANT;966870840;966870841; 1,0;-0.212882;38.568871;GENERALITAT VALENCIANA;Q5355382B;LA MARINA BAIXA
03005835;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;JUAN CARLOS I;CEIP JUAN CARLOS I;PÚB.;CL;CONCEPCIÓN MINGOT;S/N;3179;FORMENTERA DEL SEGURA;ALACANT;965290195;965290196; 1,0;-0.744797;38.085286;GENERALITAT VALENCIANA;Q5355381D;EL BAIX SEGURA/ LA VEGA BAJA
03005859;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;SANTÍSIMO CRISTO;CEIP SANTÍSIMO CRISTO;PÚB.;CL;CUESTA GRUPO ESCOLAR;S/N;3740;GATA DE GORGOS;ALACANT;966428825;966428826; 1,0;0.083717;38.770472;GENERALITAT VALENCIANA;Q5355004B;LA MARINA ALTA
03005902;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;SAN PEDRO APÓSTOL;CEIP SAN PEDRO APÓSTOL;PÚB.;CL;CANÓNIGO ROCAMORA;36;3348;GRANJA DE ROCAMORA;ALACANT;966904230;966904231; 1,0;-0.893972;38.15312;GENERALITAT VALENCIANA;Q5355379H;EL BAIX SEGURA/ LA VEGA BAJA
03005914;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;;CEIP D'EL CASTELL DE GUADALEST;PÚB.;PZ;SAN GREGORIO;2;3517;EL CASTELL DE GUADALEST;ALACANT;966870875;966870876; 1,0;-0.198119;38.675936;GENERALITAT VALENCIANA;Q5355378J;LA MARINA BAIXA
03005941;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;MOLIVENT;CEIP MOLIVENT;PÚB.;CL;MOLIVENT;S/N;3140;GUARDAMAR DEL SEGURA;ALACANT;965290110;965290111; 1,0;-0.655677;38.086599;GENERALITAT VALENCIANA;Q5355375F;EL BAIX SEGURA/ LA VEGA BAJA
03005951;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;REYES CATÓLICOS;CEIP REYES CATÓLICOS;PÚB.;CL;SOL;3;3140;GUARDAMAR DEL SEGURA;ALACANT;965290115;965290116; 1,0;-0.658375;38.094098;GENERALITAT VALENCIANA;Q5355068G;EL BAIX SEGURA/ LA VEGA BAJA
03005999;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;L'OM;CEIP L'OM;PÚB.;CL;EL SALVADOR;S/N;3688;EL FONDÓ DE LES NEUS - LA CANALOSA;ALACANT;965480591;; 1,0;-0.935479;38.304705;GENERALITAT VALENCIANA;Q5355374I;EL VINALOPÓ MITJÀ/ EL VINALOPÓ MEDIO
03006001;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;NUESTRA SEÑORA DE LAS NIEVES;CEIP NUESTRA SEÑORA DE LAS NIEVES;PÚB.;AV;DE CREVILLENTE;S/N;3688;EL FONDÓ DE LES NEUS;ALACANT;966616050;966616051; 1,0;-0.850153;38.307585;GENERALITAT VALENCIANA;Q5355373A;EL VINALOPÓ MITJÀ/ EL VINALOPÓ MEDIO
03006049;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;VIRGEN DE LA SALUD;CEIP VIRGEN DE LA SALUD;PÚB.;AV;BLASCO IBÁÑEZ;72;3689;HONDÓN DE LOS FRAILES;ALACANT;966616030;966616031; 1,0;-0.931166;38.272731;GENERALITAT VALENCIANA;Q5355372C;EL VINALOPÓ MITJÀ/ EL VINALOPÓ MEDIO
03006050;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;CERVANTES;CEIP CERVANTES;PÚB.;CL;SAN JOSÉ (APT. 441);44;3440;IBI;ALACANT;966527515;966527516; 1,0;-0.57186;38.625453;GENERALITAT VALENCIANA;Q5355370G;L'ALCOIÀ
03006062;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;DERRAMADOR;CEIP DERRAMADOR;PÚB.;PD;DERRAMADOR;S/N;3440;IBI;ALACANT;966527520;966527521; 1,0;-0.585794;38.619251;GENERALITAT VALENCIANA;Q5355020H;L'ALCOIÀ
03006086;INSTITUTO DE EDUCACIÓN SECUNDARIA;INSTITUT D'EDUCACIÓ SECUNDÀRIA;FRAY IGNACIO BARRACHINA;IES FRAY IGNACIO BARRACHINA;PÚB.;CL;SEVILLA;4;3440;IBI;ALACANT;966527695;966527696; 1,0;-0.590848;38.61791;GENERALITAT VALENCIANA;Q5355368A;L'ALCOIÀ
03006104;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;POETA PLA Y BELTRÁN;CEIP POETA PLA Y BELTRÁN;PÚB.;CL;CALDERÓN DE LA BARCA;S/N;3440;IBI;ALACANT;966527525;966527526; 1,0;-0.574443;38.617633;GENERALITAT VALENCIANA;Q5355365G;L'ALCOIÀ
03006128;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA;NUESTRA SEÑORA DE LOS DESAMPARADOS;CENTRE PRIVAT NUESTRA SEÑORA DE LOS DESAMPARADOS;PRIV. CONC.;CL;MARÍA AUXILIADORA;4;3440;IBI;ALACANT;965551350;965554514; 1,0;-0.566987;38.6247;;;L'ALCOIÀ
03006131;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA;SAN JUAN Y SAN PABLO;CENTRE PRIVAT SAN JUAN Y SAN PABLO;PRIV. CONC.;CL;AMADO BROTONS;9;3440;IBI;ALACANT;965552168;965553135; 1,0;-0.573682;38.6277;;;L'ALCOIÀ
03006153;INSTITUTO DE EDUCACIÓN SECUNDARIA;INSTITUT D'EDUCACIÓ SECUNDÀRIA;LA FOIA;IES LA FOIA;PÚB.;CL;SEVILLA;2;3440;IBI;ALACANT;966527690;966527691; 1,0;-0.590343;38.618505;GENERALITAT VALENCIANA;Q5355367C;L'ALCOIÀ
03006165;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;VIRGEN DE BELÉN;CEIP VIRGEN DE BELÉN;PÚB.;CL;VIRGEN DE BELÉN;12;3310;JACARILLA;ALACANT;966770595;966770595; 1,0;-0.869156;38.062343;GENERALITAT VALENCIANA;Q5355363B;EL BAIX SEGURA/ LA VEGA BAJA
03006177;CENTRO PRIVADO DE EDUCACIÓN SECUNDARIA;CENTRE PRIVAT D'EDUCACIÓ SECUNDÀRIA;ESCUELA FAMILIAR AGRARIA EL CAMPICO;CENTRO PRIVADO ESCUELA FAMILIAR AGRARIA EL CAMPICO;PRIV. CONC.;CL;EL CAMPICO;S/N;3310;JACARILLA;ALACANT;965350485;965350932; 1,0;-0.868923;38.053392;;;EL BAIX SEGURA/ LA VEGA BAJA
03006189;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;VIRGEN POBRE;CEIP VIRGEN POBRE;PÚB.;PD;BENIBRAHIM;S/N;3727;XALÓ;ALACANT;965739025;965739026; 1,0;-0.011528;38.735452;GENERALITAT VALENCIANA;Q5355362D;LA MARINA ALTA
03006220;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;VICENTE TENA;CEIP VICENTE TENA;PÚB.;AV;RAMON LLIDÓ;10;3730;XÀBIA;ALACANT;966428830;966428831; 1,0;0.162134;38.78633;GENERALITAT VALENCIANA;Q5355003D;LA MARINA ALTA
03006232;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA;MARÍA INMACULADA;CENTRE PRIVAT MARÍA INMACULADA;PRIV. CONC.;CL;MESTRE ÀNGEL RIBES;7;3730;XÀBIA;ALACANT;965791170;965794200; 1,0;0.164033;38.791318;;;LA MARINA ALTA
03006244;INSTITUTO DE EDUCACIÓN SECUNDARIA;INSTITUT D'EDUCACIÓ SECUNDÀRIA;ANTONI LLIDÓ;IES ANTONI LLIDÓ;PÚB.;AV;ÁNGEL DOMÉNECH;22;3730;XÀBIA;ALACANT;966428200;966428201; 1,0;0.158916;38.790825;GENERALITAT VALENCIANA;Q5355341H;LA MARINA ALTA
03006256;INSTITUTO DE EDUCACIÓN SECUNDARIA;INSTITUT D'EDUCACIÓ SECUNDÀRIA;;IES DE XIXONA;PÚB.;CL;MÉDICO MANUEL GALIANA;3;3100;XIXONA;ALACANT;966908110;966908111; 1,0;-0.50005;38.542812;GENERALITAT VALENCIANA;Q5355361F;L'ALACANTÍ
03006281;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;SAGRADA FAMILIA;CEIP SAGRADA FAMILIA;PÚB.;CL;JOAN FUSTER;4;3100;XIXONA;ALACANT;966908165;966908166; 1,0;-0.506583;38.530853;GENERALITAT VALENCIANA;Q5355360H;L'ALACANTÍ
03006301;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;ELOY COLOMA;CEIP ELOY COLOMA;PÚB.;AV;DE LA CONSTITUCIÓN;S/N;3100;XIXONA;ALACANT;966908170;966908171; 1,0;-0.505993;38.542099;GENERALITAT VALENCIANA;Q5355084D;L'ALACANTÍ
